	Sentence	Level
967	I think we should bring some water to drink. 	A
968	I bought them because I don't have any clothes for the summer and I need them! 	A
969	The weather was great. There were no clouds. 	A
970	I want to see that film but I have no time today because I have more work at home. 	A
971	If you want more details, you can call this number. 	A
972	We will meet at my house at 10.15, so we will have more time in the club. 	A
973	We danced, played games and had lots of fun . 	A
974	The new art class starts next Monday and each class is about 1 hour long. 	A
975	Yesterday I bought three t-shirts: one blue t-shirt, one pink t-shirt and one yellow t-shirt. 	A
976	We have an extra ticket and are wanting you to come. 	A
977	But we didn't have much money, so we didn't buy many things. 	A
978	I want to sell the television because I haven't got much time to watch it. 	A
979	There aren't many tickets. 	A
980	I bought them because I haven't got many winter clothes. 	A
981	We played so many games, like dog and bone, four corners, and many more. 	A
982	We visited so many places, mostly monuments. The weather was perfect. 	A
983	I know, I bought too many things but I liked all of them. 	A
984	I spent all of my money! 	A
985	Some of my friends gave me books. 	A
986	The competition was very tough because both of the teams were good. 	A
987	Many of my relatives and friends had come. 	A
988	I enjoyed the party. I had invited five of my friends and my family. 	A
989	Without a library card you can't take any of the books with you. 	A
990	So several days ago we received a complaint. 	B
991	I took it and wished to have millions of dollars. 	B
992	They interviewed a few of the students, the teachers and the headmistress. 	B
993	I went with my friends so we could spend a little time together. 	B
994	I had a bit of free time, so I took the bus and I went to my friend's house. 	B
995	I just watch a little bit of TV when I come home from school. 	B
996	I'm convinced that most people watch too much TV these days. 	B
997	If you haven't got enough credit on your phone, we can meet at 11 am at the bookshop. 	B
998	I think if we meet at 8 pm, we'll have plenty of time to buy the tickets and some drinks. 	B
999	We went to loads of beautiful places. 	B
1000	How much television do you watch? 	B
1001	Do you watch much TV? 	B
1002	Hello Marina. Unfortunately I have so much work at the moment that I can't help you. 	B
1003	My neighbours are making too much noise. 	B
1004	Have you got many friends in England? 	B
1005	 How many channels are there in Britain? 	B
1006	In my opinion you should spend half of your holiday with your parents and the other half with your friends: I think this would be the best thing to do. 	B
1007	Anyway that's enough of my news! 	B
1008	Although I knew which kind of dress I wanted, none of the stores had it. 	B
1009	Because almost all of the programmes are stupid. 	B
1010	His name is Richard and since we were just little kids, we've spent nearly every day together. 	B
1011	I spend very little time outside, and I know I do not have enough stamina and strength. 	B
1012	We are sick of working hard for so little money. 	B
1013	There are so few animals living on the earth today and the pandas have so few places left to live and to eat, so we must try helping these animals. 	B
1014	Second, we would draw your attention to the fact that neither party could foresee or predict the recent rise in the price of wheat. 	C
1015	In the Czech Republic, somewhere between those two extremes, either way is possible. 	C
1016	This way, the toilet can be accessed easily from either floor. 	C
1017	Either of the measures is recommended and those measures are bound to enhance the company's competitive power. 	C
1018	Of course if you are not at all interested in sports, neither of these games will be of any interest to you. 	C
1019	However, you forgot to add that neither of us could foresee the rise in the price of wheat. 	C
1020	My kitchen is absolutely cramped. I love cooking and despite the fact that I have no space, I managed to fit in a table as well as millions of cookbooks and all the necessary kitchen tools. 	C
1021	I'm going to make loads of cookies this year and will give them in nice little boxes to my family and friends. 	C
1022	I received tons of plastic ducks every time I had my birthday or some kind of celebration. 	C
1023	We have come a long way and climbed many a mountain but are we really better off than our ancestors? 	C
1024	Her father's pharmacy was broken into very often, the local drug addicts were relentless and Mary was threatened many a time on her way home from work. 	C
1025	It has raised many an issue which I would like to comment upon here. 	C
1026	I'll be waiting for you. 	A
1027	We will be starting at 12 o'clock this afternoon. 	A
1028	Tomorrow please come at 4.30 pm because I'll be working before. 	A
1029	Tomorrow I'll be studying in the morning, so you can come at 2. 	A
1030	However, I shall be attending class the day after tomorrow and I shall cover the work I miss by copying it from John. 	B
1031	We will be waiting for you at the River's Café at 6.30. 	B
1032	I would like you to know that I won't be attending your English class next week. 	B
1033	I won't be coming because my family and I are going on a tour of London. 	B
1034	Will they be holding any activities at night? 	B
1035	Will I be needing any money? 	B
1036	What will you be doing in a few years if now you don't even try to do anything? 	B
1037	Will I be needing any money? 	B
1038	As far as I'm concerned, we should definitely do some additional publicity, particularly for the new offerings which might be coming up. 	C
1039	For example, your boss may be calling at 10 pm asking you to prepare a report for next day's meeting. 	C
1040	You are not going to believe what I am about to tell you! 	B
1041	I'm in a hurry, my class is about to begin. 	B
1042	They are to offer the spectators a view of the variety and the beauty of the world we are surrounded by and which we are about to destroy. 	B
1043	I am afraid that July is the only appropriate month, because I am due to start work in August. 	B
1044	As some of the members of our team are due to be present at a sales promotion programme next Friday, the marketing meeting once scheduled for next Friday is postponed to next Saturday. 	B
1045	Dear Erica, I am sorry that I cannot attend the meeting at head office as expected, as I am to go on a business trip to New York then. 	B
1046	He is to come to Athens next Friday. 	B
1047	I know what you 're about to answer, and moreover you might be right; 	B
1048	We're about to introduce a new identity card system in our company. 	B
1049	My company has a high reputation for manufacturing healthy foods and we are just about to launch a newly-developed healthy snack for children which requires financial backing urgently. 	B
1050	 We have no right to do so, because they are to be respected as much as any other living form on this planet! 	B
1051	They are to have their passports with them. 	B
1052	You're to sit in front of the TV and just watch the film. 	B
1053	Our annual conference for HR managers is due to take place on 10 December 2010. 	B
1054	However, the demand for products is still estimated as ‘normal’ and is due to increase within the next 6 months. 	B
1055	I am sorry but we are to leave a bit earlier - at about 16.00. 	B
1056	She was going to return it but she saw something very strange, her number was on the screen. 	B
1057	She didn't know what was going to happen. 	B
1058	We were going to meet two days later in the square next to the centre. 	B
1059	I've just bought a new dress, and a beautiful black T-shirt. When I saw them, I thought they would be great for tonight's party. 	B
1060	 we thought that the film would be horrible because of the title but when the film started, the story was beautiful and Mauricio and I liked it a lot. 	B
1061	As I saw the advert, I knew it would be a lovely birthday present. 	B
1062	Two days before, I told him that our father was about to buy a brand new car. 	B
1063	When I was about to answer the question, I realised that it was not as easy as I had thought. 	B
1064	Dear Helen, Believe it or not, I was just about to write you a letter when I received yours. 	B
1065	Just as we were about to climb through the broken window, a policeman arrived on the scene. 	B
1066	In addition, when I was on the point of leaving the office, another phone rang. 	B
1067	In fact he simulated his death to escape from the police, who were on the point of catching him fora penicillin racket. 	B
1068	It was quite early in the morning, only 7.15 am, and my plane was due to leave in about 40 minutes. 	C
1069	Ten minutes after the time we were due to begin, she arrived. 	C
1070	We have succeeded in persuading the local Council that the factory that was due to be built near the lake was dangerous. 	C
1071	This summer I will have been working for three years for my company  	B
1072	Now I am staying in Hastings in England and this month, I will have been studying English for seven months. 	B
1073	I think I could have a holiday just in July because I will have been working for my company for one year by the end of the June. 	B
1074	I do not think that this aspect is really necessary because it is supposed that  you will have been studying very hard to occupy that job . 	C
1075	I'm sure I will have learned today's lesson by the next lesson. 	B
1076	It seems that the decorative role of clothes will have disappeared by the year 2050. 	B
1077	I think that the best time for me to visit Scotland would be in July, because I will not have finished my university exams by June. 	B
1078	 Once we have finished, it we won't have done more than 40 km, and there are just another 10 to get to the Lakeside Inn. 	B
1079	There is no problem if you want to leave at 4.30 pm as the match will have finished by that time. 	B
1080	First of all, if you go to work by bicycle every day, at the end of the month you will have saved more money because you won't have spent it buying petrol. 	B
1081	If you have ever read a fairytale by Hans Christian Andersen you will surely have discovered why this man is so famous worldwide. 	C
1082	However, sales will possibly have fallen to 5000 units again by the end of the year. 	C
1083	As you will have heard, this year's work experience programme in Britain was in general a success. 	C
1084	All of this is because her book will have included the cultural traditions that go with the dishes. 	C
1085	 I hope I will have reassured you. 	C
1086	Will he have changed? 	C
1087	I will see you soon. 	A
1088	I'll come at 7 o'clock. 	A
1089	I will try to come to see you tomorrow. 	A
1090	I'll bring a football ball with me. 	A
1091	I shall come with you. 	A
1092	We shall take a bus to the sports centre. 	A
1093	We shall go together next year! 	A
1094	Without them I will not be able to play football. 	A
1095	Can you come at 7 o'clock? I won't be at home before.  	A
1096	Will you come? 	A
1097	And what shall I bring to the party? 	A
1098	Shall I wait for you? 	A
1099	Shall I buy you one? 	A
1100	Will you have a mobile phone? 	A
1101	Will you come by train? 	A
1102	Will you come tomorrow at 6.35 pm to my house? 	A
1103	 Will you send it for me? 	A
1104	Shall we go to my friend's house to get it? 	A
1105	Shall we go there together? 	A
1106	My mother will drive us there. 	A
1107	 and my elder sister will help us too. 	A
1108	The work will start at 8 a.m. and finish at 2 p.m. The new schedule starts on 1 June. 	B
1109	I won't be able to get there at the time we agreed. 	B
1110	It will be hotter because of global warming.  	B
1111	But, if you go on holiday with your parents, there are some advantages too: you will not have money problems and your parents will not worry about you too much! 	B
1112	I won't live here in the future, because in March I'm moving to Lima, to study at the university. 	B
1113	I promise that I shall cover all the work and give it to you tomorrow. 	B
1114	After that, I shall go to the beach. 	B
1115	We shall have a meeting regarding this next week. 	B
1116	However, we shall not forget to mention the legal and social consequences of such a merger to the average employees. 	C
1117	Therefore, my client shall not release you from the agreement, which is binding upon both parties. 	C
1118	I must believe, believe in myself and in everybody else, and mainly in what I look for, this way I shall never lose hope. 	C
1119	I shall always remember it as the city of lights. 	C
1120	I shall always keep it in mind, in order to keep my children close to me and avoid being hated. 	C
1121	I came to the conclusion that the Excel Academy is not worth the money our company paid and that we shall not send further candidates there. 	C
1122	Once more I invite you wholeheartedly to stay at my place and I hope we shall meet in November. 	C
1123	 we shall probably have several years more to live. 	C
1124	 I 'm going to wear them on holiday. 	A
1125	It is going to start at half past four. 	A
1126	 It's going to be hot. 	A
1127	We are going to take a taxi to get to the sports centre. 	A
1128	What are you going to wear? 	A
1129	What colour paint are we going to use? 	A
1130	Are you going to come tomorrow evening? 	A
1131	I'm going to use pink paint. 	A
1132	My mum is going to take us by car. 	A
1133	What time are you going to come? And what are you going to bring?  	A
1134	I think this Saturday is going to be a nice day. 	A
1135	It's going to be fantastic. 	A
1136	It is going to be great fun. 	A
1137	You should wear comfortable clothes because you are going to be hot. 	A
1138	I am not going to go to school tomorrow. 	B
1139	Also you can do whatever you want because there is not going to be an adult there to stop you. 	B
1140	When we realized it was going to be an extremely hot day, we took water. 	B
1141	We were going to meet at 11.30 am but instead we will meet now at 2.30 pm at the same place. 	B
1142	I know that I 'm never going to forget this moment. 	B
1143	Although we are really happy with your new and, maybe, better job, we are really going to miss you. 	B
1144	She didn't know what was going to happen. 	B
1145	We were going to meet two days later in the square next to the centre. 	B
1146	I'm not going to be able to meet you next Tuesday, because I have to go to the dentist at 5.30. 	B
1147	I'm sure I'm not going to live in Kutná Hora forever. 	B
1148	We were going to get married two months ago but we broke up and I really didn't know why. 	B
1149	We were going to have a cup of coffee on Tuesday morning, do you remember? 	B
1150	I think you're going to like it. 	B
1151	And don't you think you are going to miss your parents? 	B
1152	I think I am going to enjoy that class. 	B
1153	I think that I am not going to sleep tonight because tomorrow is an exciting and interesting day. 	B
1154	As a matter of fact, apart from teenagers programmes and children's cartoons, there is not much to watch, and this is not going to teach you many things about life! 	B
1155	Fortunately, he was told his boss was going to be a bit late, so he had some time to go back home. 	B
1156	I was very worried but at the end he called me and told me he and his family were fine and that he was going to arrive tomorrow. 	B
1157	Mario Soares is already an old man, nearly 70, who is probably going to finish his active political life in 2 or 3 years. 	C
1158	As the new store is going to be the first and only one in Moscow, and, to make matters worse, it is going to be located close to our most successful outlet, it is undoubtedly going to have a detrimental effect on our company. 	C
1159	"Additionally, many British people stay at ""Tall Trees Campsite"", so I guess we would be forced to speak English all the time, which is also great because it is surely going to help us to improve our English skills. "	C
1160	But I don't know if I'm going to still live here. 	B
1161	First, I am going to briefly introduce the three main activities offered by the club. 	C
1162	Nobody is going to even look at you when your sister is there. 	C
1163	I'm working this Saturday and Sunday morning. 	A
1164	We are having the meal at 7pm. 	A
1165	They are going back on 20th July. 	A
1166	 Are you coming? 	A
1167	 It starts at 6. When are you coming? 	A
1168	 Where are you going? 	A
1169	I’m attending my grandmother’s funeral tomorrow. 	B
1170	We’re expecting a child very soon. 	B
1171	The movie is starting at 8 o’clock. 	B
1172	Are you visiting my country on your next holiday? 	B
1173	Why are you moving to a different area? 	B
1174	We’re throwing a party for fun on 5th January. 	B
1175	She is joining the course on Friday. 	B
1176	So are you planning to visit Japan then? 	B
1177	When is the festival starting and when is it finishing? 	B
1178	What kind of seminar materials are you providing? 	B
1179	I'll tell you more when I meet you. 	A
1180	Can you, please, call me when you find it? 	A
1181	I hope you enjoy your holiday too. 	A
1182	I hope you come to visit me soon. 	A
1183	 It begins on 8 o'clock in the evening. 	A
1184	The class is on Monday.  It starts at 6:00 pm and finishes at 7:00 pm. 	A
1185	I'm planning to move as soon as I finish college because job opportunities in my area aren't good. 	B
1186	I will let you know as soon as I get the exact date. 	B
1187	 by the time he gets home, he will just want to go straight to bed. 	C
1188	By the time you arrive the information office at the airport will be closed, as at 11.00 o'clock a full day strike will start. 	C
1189	We would suggest that our management takes a closer look. 	C
1190	"I recommend that we go to the theatre in Ginza where ""Miss Saigon"" is on. "	C
1191	Moreover, we insist that the agreement between you is legally binding . 	C
1192	Only when we understand that, will we be able to live in better societies. 	C
1193	Moreover, I think that only when people manage this will they be able to move on with their lives and offer something new to humanity. 	C
1194	And, sadly, I also believe that only when something really catastrophic happens will citizens face reality and accept that measures must be taken. 	C
1195	I'm sure I can beat you at chess. 	A
1196	I am not sure what I want to do but I am sure we will find something to do. 	A
1197	I’m sure that you will love it. 	A
1198	It's important that you take breaks and don't work all the time. 	B
1199	It's important that you eat healthy food. 	B
1200	I think it's important that you analyze each point to decide what to do. 	B
1201	If it is possible I would like to pay by credit card. 	B
1202	If possible, please re-deliver the same goods right now. 	B
1203	I'm not free at 6 so I'd change it to 9 if it's possible. 	B
1204	If it's possible, could you send the cards to my office in London? 	B
1205	I would prefer the 15th of July if it is possible. 	B
1206	The opening hours are quite convenient but, if possible, I would like the pool to open a bit earlier - at 8.30 am, for example. 	B
1207	Our sales department staff are heavily involved in several international projects, so it is necessary to improve their foreign language skills. 	B
1208	But sometimes it's essential to do what your parents want you to do. 	B
1209	In the centre of town it is possible to do more activities after school. 	B
1210	 It was impossible to install the system. 	B
1211	If you have to choose between two schools, I think it's important for you to know what they’re like. 	B
1212	It's impossible for me to meet with you at six o'clock. 	B
1213	It is important for everyone to attend this meeting. 	B
1214	 It's essential for me to go because I think I can't study physics by myself. 	B
1215	It seems clear to me that swimming is good for the whole body. 	B
1216	It is obvious that some people prefer reading books. 	B
1217	It is possible that we can be educated by TV. 	B
1218	It seems obvious that it is not necessary. 	B
1219	It does not seem possible that we can live without any private life. 	B
1220	It is likely that by reading books we will learn some new words and phrases so that we will be able to write better. 	B
1221	It is possible that only one computer will do this. 	B
1222	They are unlikely to arrive on Friday. 	B
1223	We are sure to increase our turnover and at least our profit. 	B
1224	Whenever money is involved, some problems are likely to happen. 	B
1225	If you see a movie, it is likely to have been made with computers. 	B
1226	It is clear that we can't live without computers today. 	B
1227	It seems obvious that this oil comes from the gas station. 	B
1228	Computers became part of the human life style because they help us to make our lives easier, but it is clear that we should never depend on machines to handle our lives. 	B
1229	Due to the introduction of a new staff appraisal form, it is crucial that you take part. 	B
1230	It's obvious you can't ride forty kilometres twice a day, unless you're very sporty. 	B
1231	It is essential that you know the advantages of our new product in order to sell this bag efficiently. 	B
1232	If you want to come earlier or if there's a public transport strike 	C
1233	It is almost certain that we'll have fights in the future but we will probably overcome them. 	C
1234	It is painfully obvious that it will rescue our city from the pollution and fumes that cars are producing. 	C
1235	 It is highly unlikely that the goods can vanish from your warehouse without that being noticed. 	C
1236	You can see a lot of special places in Wroclaw. 	A
1237	You can make a quick snack, for example, a sandwich. 	A
1238	I cannot come to see you. 	A
1239	I'm very nervous and I can't say anything. 	A
1240	Can you come for dinner Monday at 6.00 pm? 	A
1241	Can we go to the park on the Sunday? 	A
1242	I can cook. 	A
1243	I can write English. 	A
1244	 He cannot go up stairs. 	A
1245	 I can’t read very well. 	A
1246	Can I help you? 	A
1247	What can I do for you? 	A
1248	How can I help you? 	A
1249	If you want, I can come to your house and I can help you with for example some housework on Sunday this weekend. 	A
1250	The shop is next to the post office. There you can find milk, juices and sweets but you can't buy meat. 	A
1251	I cannot see you today. 	A
1252	I'm sorry I can't see you now because I am very busy at work. 	A
1253	Can you come on Sunday at seven o’clock? 	A
1254	Can you call me? 	A
1255	You can wear anything you want. 	A
1256	You can’t bring your mobile phone. 	A
1257	You cannot wear jeans or flip-flops. 	A
1258	Can't you go with your parents some time and with your friends later? 	B
1259	Why can't she visit them alone and I can relax at the beach? 	B
1260	You can ask your parents what they think you should do, can't you? 	B
1261	You can also write postcards and letters to your friends. 	B
1262	I can only tell you what I think about it, because you have to decide. 	B
1263	I can't even remember the girl's face. 	B
1264	The trouble is that I can't really afford it. 	B
1265	 spending an entire summer without your friends can be very boring. 	B
1266	Sitting all day long in front of a computer can be very stressful. 	B
1267	The centre of town can be more dangerous and noisy. 	B
1268	They invented a robot which plays football, can you believe this? 	B
1269	It cost me £50! Can you believe that! It was expensive but worth it! 	B
1270	In case you need them , I can easily provide references. 	B
1271	On the other hand you can hardly imagine an evening when you are sitting in your armchair, the tea is on the table and you are reading your favourite novel on a computer screen. 	B
1272	As you read her book, you can probably imagine what kind of personality she has got, and after finishing it, you will be more cheerful than before. 	B
1273	some young people can feel bored when they have to walk a lot and look at  very old things. 	B
1274	"Too much work can cause ""stress"" and heart problems. "	B
1275	You look very pale and you can’t be feeling well. 	B
1276	I think that it can’t be true. 	B
1277	 He can't be; he is too young. 	B
1278	It cannot be any good for these animals to be taken away from their natural surroundings. 	B
1279	You can’t forget your friends. 	B
1280	he can't go on behaving like this. 	B
1281	Please, listen, you can't go on studying so hard. 	B
1282	You have to realise that you cannot work all the time: your body needs some rest. 	B
1283	Can't you see how exhausted you are? 	B
1284	I live with my partner and we can't have used so much electricity. 	C
1285	it cannot have been such a disappointment. 	C
1286	The air-conditioning cannot have been working properly as the coach was too cold. 	C
1287	It can be argued, looking at the figures, that the company should consider withdrawing from the heater market. 	C
1288	Taking everything into account, it can be concluded that the current training course is very useful for our company. 	C
1289	As for marriage and relationships, it can be said that women who have a job, nowadays, do not quit it after marriage. 	C
1290	Only those who live with their relatives can fully understand how essential is the role of your parents, sisters, aunts... 	C
1291	Miss Sylvia Ann Powers is a good friend of mine for over six years, so I can honestly say that I know her personality fairly well. 	C
1292	So, as you can see, there are no serious consequences for us, so far. 	C
1293	I can't say I was very impressed with the level and the way the classes were given. 	C
1294	About my country, I can tell you that we went through a great number of wars in the last century 	C
1295	And how can we improve if we are not allowed to make mistakes, evaluate our experiences in a new light and try again? 	C
1296	But how can each of us stay fit in this world of stress and fast food restaurants? 	C
1297	I can cook if you dare eat it! 	B
1298	 But many local people dare not go to Lily, because it is too expensive. 	B
1299	Some people object that I have to put up with the rain and other inconveniences, but I think that they are rather jealous because they daren't give up their car. 	B
1300	I feel that I have a huge responsibility trying to choose only one option, but I dare say that the last option may be the best one. 	C
1301	I must express my concern about some facilities, like the student study centre and the canteen, which I dare say needs improvement. 	C
1302	Dare we run the risk of even one child or adult turning to violent crime because they think it is ok? 	C
1303	How dare people say that we don't practice sport! 	C
1304	 how dare you say that this event was a complete failure! 	C
1305	She didn't dare think about him and the possibility that he would never come back. 	C
1306	Since we didn't dare move our feet, we were slowly swaying to the left and to the right, backwards and forwards. 	C
1307	Will you be able to come this time? 	A
1308	 Without them I will not be able to play football. 	A
1309	If you need a musical instrument, I can bring my guitar but unfortunately I won't be able to play it because I have never learned it. 	A
1310	After finishing school, you might be able to hang out with your friends. 	B
1311	If we could meet in Switzerland, we should be able to finish the project on the 20th June. 	B
1312	I'd be able to take walks without even worrying about inhaling polluted air. 	B
1313	First of all, if you are allowed to go out of the building in your break, you should do it. 	B
1314	Perhaps you will be allowed to go on holiday with your friends next year. 	B
1315	The film is supposed to start at 7.00 pm so we'd better meet at 6.30 pm. See you there! 	B
1316	I was supposed to be meeting my friend Laura but she didn't come. 	B
1317	I am sorry but I  am not able to meet you next Tuesday. 	B
1318	We were able to choose the songs ourselves and so I liked them very much. 	B
1319	My mother went with me on this trip because I wasn't allowed to go by myself. 	B
1320	You won't be allowed to do what you want and you won't enjoy yourself. 	B
1321	I am really sorry, but I will have to make some changes to my trip. I was supposed to arrive on 11th June 2003, but I will arrive the next month. 	B
1322	It was supposed to be on Tuesday at 1.00pm. 	B
1323	We were supposed to meet at noon with some friends, but they called her to ask if we could meet at the restaurant. 	B
1324	 She was able to get a good seat and she unexpectedly got to school early. 	B
1325	 sales had increased recently because of the good performance of our staff so we were able to improve the quality of our products ... 	B
1326	People who read books are likely to be more knowledgeable. 	B
1327	I'm bound to feel nervous. 	B
1328	According to our new marketing strategy, we are sure to increase our turnover and our profit. 	B
1329	 I am due to start on Monday 4 June. 	B
1330	I would like to inform you that as of 1st of June all operational staff will be obliged to use identity cards. 	B
1331	Sleepy and unwilling to take part of the conference, I was obliged to spend the evening listening to the soft voice of a man who was famous for his boring performances. 	B
1332	It is about 1000 years old, so I am sure that you will find it fascinating to see it. 	B
1333	It was obvious that I would be late to work. 	B
1334	It is likely that by reading books we will learn some new words and phrases so that we will be able to write better. 	B
1335	It is certain that our state-of-the-art LCD will be well received and make great profits. 	B
1336	In case of an accident, one is more likely to be badly injured when riding a bicycle. 	B
1337	Since they are more and better educated when they leave school at 18 years old, their minds are more mature and they are more sensible. They are more likely to have better jobs and a better life, and much less likely to cause problems to other people. 	B
1338	And whenever money is involved, some problems are likely to happen. 	B
1339	I am very likely to make mistakes which I would like to avoid. 	B
1340	I have attached the  company law directive enacted 2 years ago and which is due to be implemented by 2008. 	B
1341	The programme was due to start at midday. 	B
1342	I am sorry that I cannot attend the meeting at head office as expected, as I am to go on a business trip to New York then. 	B
1343	I was to take exams in two weeks and had to study hard. 	B
1344	Animals are meant to be free, and man should be very careful about interfering with nature. 	B
1345	Primary school is meant to be there so that you build all the basics of your education. 	B
1346	However, the show is only on the 14th of March, the same day we are supposed to go to a Science Museum. 	B
1347	Our travels are supposed to provide us with pleasure, knowledge and new experiences. 	B
1348	I have bought some disks but I don't know what I am supposed to do with them. 	B
1349	I was supposed to explain to them what they had to do. 	B
1350	That woman is supposed to have killed her husbands 	B
1351	The lake is supposed to be very beautiful. 	B
1352	I assure you that it is bound to be popular with different clients, especially young people and white-collar workers. 	B
1353	It is hardly possible to catch a cold when travelling by car in rain which is almost bound to happen while riding a bicycle. 	B
1354	To sum up, where many people get together, problems are bound to arise. 	B
1355	If you cannot attend, be sure to inform me in advance. 	B
1356	Be sure to contact me for any further information. 	B
1357	A person that will act in that way is sure to be successful. 	B
1358	Furthermore, by bicycle, you don't spend your time in traffic-jams and you are sure to arrive at work on time. 	B
1359	The market for this product is not yet fully developed, but we are certain to attract more and more people, especially students. 	B
1360	The Sales Representatives are obliged to participate. 	B
1361	By January 2 everybody is obliged to have a parking permit when using the company car park. 	B
1362	They were obliged to give up their house. 	B
1363	I don't like to be forced to do something that I don't want to do. 	B
1364	Due to decreasing sales over the last months, we are forced to cut the budget. 	B
1365	The turnover of our company is set to increase dramatically after the establishment of the e-shop, which itself requires little investment. 	C
1366	The population of children is set to plummet to 11.5% and that of working people also to 46.2% in 2050. 	C
1367	 I am not certain that they have got used to it. 	C
1368	 It's not likely that you'll make progress. 	C
1369	As you can see, I'm really in favour of this plan but I'm not sure that the council has anticipated everything. 	C
1370	The country's population is not likely to increase fast enough. 	C
1371	 You are not obliged to invite them over. 	C
1372	 Its positive effects are not certain to outweigh the negative ones. 	C
1373	People should be obliged not to have more than a very small number of children otherwise they will be punished. 	C
1374	Now without her knowledge, I know everything about her and she is bound not to conceal the truth! 	C
1375	Indeed, whatever path parents choose, they are almost certain not to do a good job. 	C
1376	Be sure not to miss the alligator steak. 	C
1377	This weekend I have to go to a party. 	A
1378	We’ll meet at four o'clock because my mom has to go to the Shopping Centre then. 	A
1379	You have got to bring a cap for the sun. 	A
1380	For the art lessons we've got to bring a rubber, two pencils and some colour pencils. 	A
1381	You don't have to bring many things with you. 	A
1382	About the transport, you do not have to worry as my daddy can drop us at the sports centre. 	A
1383	We haven't got to bring anything with us.  	A
1384	What do you have to wear? 	A
1385	What do we have to bring? 	A
1386	Do you have to wear a skirt? 	A
1387	Have you got to bring a pencil? 	A
1388	The concert starts at midnight but we have to go before then because we have got to buy our tickets. 	A
1389	You have to bring your swimming costume. 	A
1390	I have to admit that I watch a lot of TV, specially movies and soap operas, I love them. 	B
1391	I have to admit that it is a very difficult choice. 	B
1392	I am going to have to buy new curtains. 	B
1393	I'm sorry to have to change the time of our meeting next Tuesday. 	B
1394	I'd hate to have to choose between family and friends. 	B
1395	If you think you have seen almost everything in this world, you've got to see this museum. 	B
1396	 You have to see at least one of her films  I think if you haven't seen her films, you haven't lived at all! 	B
1397	You have to relax. You should try to live. You don't know what's going on around you. 	B
1398	"The main thing to remember is that there many possibilities but you have to try to find them and not just say: ""I want to work and earn money"". "	B
1399	 In order to have an objective view on which lifestyle tends to be more problematic, you certainly have to have lived at each setting for a rather extensive time period. 	C
1400	"They stop at the most famous places, which you ""have to have seen"", jump down and take photographs, always chatting with each other. "	C
1401	 It's got to be incredible to see a castle emerging from the sea. 	C
1402	 There had to be something else since she was definitely not the kind of person who drops by without asking. 	C
1403	Yes, I was sure, it had to have been Peter. 	C
1404	Nowadays, one has to have finished at least senior high school for any employer to consider hiring you. 	C
1405	The State Universities have a higher level of education than Public Universities, but usually to get into a State University you had to have been studying in a public school. 	B
1406	 So I may need them. 	A
1407	I think it may be dirty. 	A
1408	 It may be in our room inside my bag. 	A
1409	 bring some money with you. We may need it. 	A
1410	 And the weather may be hot. 	A
1411	I knew I may not meet him again. 	B
1412	I realise that may not be the best way of resolving your problem. 	B
1413	They may not even have internet in the countryside! 	B
1414	I may also ask you for another favour.... 	B
1415	Why don't you try going to the gym before work? It may also help you release stress? 	B
1416	May I be your guide while you stay here? 	B
1417	May I borrow your bike?  	B
1418	May I give you a short presentation on 17th December? 	B
1419	May I ask you about my accommodation? 	B
1420	May I ask you if our company will receive the usual 10% discount? 	B
1421	I think that he may have forgiven me for that accident  ! 	B
1422	As you may have noticed, there has been a delay setting up the new computer system. 	B
1423	 Another disadvantage is that you may have received the wrong size or colour. 	B
1424	Now, you may have seen your beautiful blue vase is not in your room any more; I broke it ! 	B
1425	When you're reading books, you may even find words you don't know and if you're an interested person, you will try to find out what it means, thus improving your vocabulary. 	B
1426	Think of all the children living in cities, they may never get the chance to come near any animals at all. 	B
1427	May I have your attention please? 	B
1428	May I ask you to use e-mail or postal services whenever possible? 	B
1429	In terms of how we are going to travel around while we are there, may I suggest that we use the two bicycles that are at the house? 	B
1430	I usually take more than one book because, as you may know, it takes many hours to get there. 	B
1431	As you may have heard, I am going to change to the engineering department. 	B
1432	As you may have understood, the best opportunity to take photos will be during the performance, but you might also find backstage photos intresting. 	B
1433	This may surprise you but I've managed to lose some weight, which I'm proud of. 	B
1434	 You may think that it is quite boring but it is not. 	B
1435	Sir, may I come in? 	B
1436	May I ask you if your special offer will be still available in September? 	B
1437	May I speak to Miss Wright, please? 	B
1438	I think they may well come to an agreement on these payment problems. 	C
1439	In general a week's work experience is a good way for a high school student to get familiar with the world of work. It may well be that after leaving school they become our employees. 	C
1440	The percentage of Dutch people eating a big, hot breakfast may not have been as high as of English people, but it has certainly reduced. 	C
1441	Apart from the income from both partners, it helps them meet other people thereby aquiring other skills they may not have obtained by staying or working from home. 	C
1442	"A few minutes later, she began hesitantly: ""After all, you may as well know” "	C
1443	I may as well see the other things. 	B
1444	But honestly, I am sure that the price of the watch also contributes its part, however small it may be, to my love of it. 	C
1445	Nowadays, however useful it may seem, travel has proved to be pointless as far as broadening the mind is concerned. 	C
1446	The most important thing is that people enjoy what they are doing whatever it may be and wherever it takes place. 	C
1447	Nowadays, one of the main goals of people in society is to achieve success, in whatever field it may be. 	C
1448	On balance, it may be concluded that although international sports competitions do involve such factors as serious and physical strain and commercial gain, their ultimate aim remains unchanged - namely, to find out in a fair way who deserves the title of the winner. 	C
